,0
0,0.9614397
1,0.0039957953
2,0.07333978
3,0.98607904
4,0.21662033
5,0.9916688
6,0.04619871
7,0.76600033
8,0.06462654
9,0.9425955
10,0.98641104
11,0.30579492
12,0.10457364
13,0.18734954
14,0.057024185
15,0.962092
16,0.9664406
17,0.71809083
18,0.941737
19,0.9410373
20,0.7659916
21,0.96279716
22,0.94013506
23,0.8758339
24,0.09644314
25,0.03183016
26,0.26027444
27,0.45336726
28,0.47955993
29,0.10960106
30,0.91550606
31,0.9840242
32,0.9815688
33,0.7368317
34,0.9762378
35,0.04599058
36,0.8923357
37,0.65704364
38,0.3644979
39,0.37754428
40,0.07004095
41,0.008141912
42,0.0034624408
43,0.9790406
44,0.72534645
45,0.3991601
46,0.07280077
47,0.21421373
48,0.0013548743
49,0.94407237
50,0.90467626
51,0.40420198
52,0.034142386
53,0.0033714287
54,0.084461
55,0.59565675
56,0.92909455
57,0.97681385
58,0.03769051
59,0.018003872
60,0.8216461
61,0.67394483
62,0.79142594
63,0.31795824
64,0.0032879438
65,0.0025734273
66,0.072978094
67,0.6551783
68,0.025766417
69,0.4344547
70,0.9629846
71,0.7493085
72,0.837381
73,0.95474803
74,0.9517902
75,0.35395688
76,0.93194497
77,0.9665696
78,0.88267595
79,0.03242108
80,0.96763366
81,0.9886572
82,0.014809125
83,0.98580015
84,0.9927812
85,0.10148376
86,0.057925817
87,0.20326857
88,0.7438482
89,0.33952355
90,0.8189863
91,0.09708597
92,0.9793073
93,0.8350478
94,0.3159717
95,0.011983474
96,0.79520816
97,0.9847298
98,0.024756163
99,0.023489533
100,0.05438187
101,0.19959241
102,0.0752051
103,0.082836516
104,0.005628287
105,0.04830466
106,0.9521758
107,0.64771205
108,0.97141796
109,0.891923
110,0.026488628
111,0.9869537
112,0.99520445
113,0.595687
114,0.6190564
115,0.7046979
116,0.86719894
117,0.9172758
118,0.06278795
119,0.18002775
120,0.012039371
121,0.9680117
122,0.9626396
123,0.01349269
124,0.9987797
125,0.0038149867
126,0.7937792
127,0.6303365
128,0.38310403
129,0.88147336
130,0.5380922
131,0.9759937
132,0.9805299
133,0.112705186
134,0.97440434
135,0.8272655
136,0.26423922
137,0.03102613
138,0.04269558
139,0.8428155
140,0.059837926
141,0.12679724
142,0.97471887
143,0.045121588
144,0.11143723
145,0.7559988
146,0.23928455
147,0.9733493
148,0.94653803
149,0.47681043
150,0.4577642
151,0.93312746
152,0.699381
153,0.9927636
154,0.9259314
155,0.87714446
156,0.97322243
157,0.06787931
158,0.15466699
159,0.7693783
160,0.0020974393
161,0.5529283
162,0.4718008
163,0.25941226
164,0.026216371
165,0.39154926
166,0.06677622
167,0.4577642
168,0.011498785
169,0.5856393
170,0.18394895
171,0.9779743
172,0.9913242
173,0.64619344
174,0.25493562
175,0.7268038
176,0.99056774
177,0.5506201
178,0.9885296
179,0.052893426
180,0.015256062
181,0.91849375
182,0.013470505
183,0.9698925
184,0.4577642
185,0.9169338
186,0.44732687
187,0.9793281
188,0.016966984
189,0.67356664
190,0.95872235
191,0.13962503
192,0.40516284
193,0.4577642
194,0.024756163
195,0.97873926
196,0.93598455
197,0.28034386
198,0.06999617
199,0.96293145
200,0.14200953
201,0.52073014
202,0.09593087
203,0.006096736
204,0.50649965
205,0.033227637
206,0.9769629
207,0.9201702
208,0.9443952
209,0.85249007
210,0.05577568
211,0.027388541
212,0.82557285
213,0.21758834
214,0.9188187
215,0.5190377
216,0.6819563
217,0.3759789
218,0.64619344
219,0.20716442
220,0.58445036
221,0.31441903
222,0.04692659
223,0.6398618
224,0.92160124
225,0.95634264
226,0.9924584
227,0.9727937
228,0.16087018
229,0.42395198
230,0.8972279
231,0.19237858
